Date,Year-Month,Title,Review
02/01/2024,01/01/2024,No issues so far,No issues so far
02/01/2024,01/01/2024,It was an easy to use website with…,It was an easy to use website with prices clearly labellef
02/01/2024,01/01/2024,Booked cover on phone sales executive…,Booked cover on phone sales executive was very polite
02/01/2024,01/01/2024,How's your crystal ball ?,"Don't know about you, but mine's often dim so I don't get to predict the future much. However, when it comes to the central heating boiler I know what could happen in the future if it isn't given a little TLC, which means an annual check at least. Here's where the people at 24/7 home rescue come into their own. For not a lot of wonga they provide the necessary, which doesn't have to include the entire heating system, but does cover everything boiler.  Fortunately I have the tools and experience to cope with the rest, so I only need the boiler taking care of with the afore mentioned TLC. Once found their website is easy to navigate and the form filling's a breeze, checkout's not at all complicated, and did I mention it's affordable ?All necessary documentation arrives via email PDF so no snail mail, and if like me you like to have a hard copy to hand it's done and dusted in minutes.Talking of which I need to go and give my crystal ball a polish."
02/01/2024,01/01/2024,Excellant,Polite and arrived within given time frameWas happy to answer questions
02/01/2024,01/01/2024,Extremely disappointed,"Extremely disappointed! Very poor service. My boiler had issue on the 30th December 23. The engineer was quick to arrive but after spending 1 hour the engineer couldn't find out what was wrong with the boiler.  In the end he gave up and said he needs to order a new front panel which he will do today and will be back either same day or Wednesday 3rd January 24. I was very understanding as I know its holidays etc so I will have to survive with no heating and no hot water for next few days. Received call today on the 2nd January 24 and I was told they ordered the part today and it now now be delivered and fixed on the 9th. I am family of 4 with 2 young kids. One child is under 3 years. We have been left to die in this cold weather with no heating or hot water. We all are ill due to cold weather and using cold water. 4 days no one had a shower.i have been left with extreme disappointment as I paid the highest amount per month to this company from day 1. Never missed a payment and in return what I get? Lies, delays and no positive response or help.Would really like a manger to call me to resolve this issue ASAP otherwise I will take my complaint further to OMBUDSMAN.  If not resolvedLooking forward to quick response."
02/01/2024,01/01/2024,Took out a new plan,Took out a new plan. All good.
02/01/2024,01/01/2024,Quick and easy to put in place,Quick and easy to put in place
02/01/2024,01/01/2024,The engineer was good and did the work…,The engineer was good and did the work well
02/01/2024,01/01/2024,helpful,He is helpful
02/01/2024,01/01/2024,Polite,"Polite, friendly engineer"
02/01/2024,01/01/2024,Customer service team member was very…,Customer service team member was very helpful with regards to the policy I was looking for and I set it up with a minimum of fuss .
03/01/2024,01/01/2024,"This company is a poor excuse for ""home…","This company is a poor excuse for ""home rescue"" services. Have monthly cover with them and on 2 occasions we've called due to a leak from our upstairs water tank, water pouring through the ceiling downstairs for them to tell us they can get someone out tomorrow. I fail to see how this company is 24/7!! Absolutely useless, don't waste your money, use a company that will genuinely provide 24/7 help! And to top that of, said water tank had just been serviced with themselves a couple of weeks prior, we asked for several things to be checked as had noticed some unusual changes, but was told it's all working perfectly, would seem this was incorrect now we have a flood as now we have a flood due to these changes we asked to be looked at!"
03/01/2024,01/01/2024,Great ememergency callout,Great service
03/01/2024,01/01/2024,Ben fixed the boiler problem very…,Ben fixed the boiler problem very quickly and he was very pleasant to deal with.
03/01/2024,01/01/2024,Very friendly engineer and told me what…,Very friendly engineer and told me what was wrong and fixed it for me
03/01/2024,01/01/2024,He was polite and efficient,He was polite and efficient
03/01/2024,01/01/2024,Mark was polite efficient and helpful…,Mark was polite efficient and helpful and has made a professional workThanks
03/01/2024,01/01/2024,Friendly and polite,Friendly and polite.  Happy with service.
03/01/2024,01/01/2024,Friendly and helpful engineer,Friendly and helpful engineer
03/01/2024,01/01/2024,Great service from the team and…,"Great service from the team and engineer very polite, helpful and tidy!"
03/01/2024,01/01/2024,very nice guy,"very nice guy, got the job done in the morning, very quickly and efficiently"
03/01/2024,01/01/2024,Engineer was great,Engineer was great
03/01/2024,01/01/2024,Highly recommended …,After searching home care insurances 24/7 were not only the cheapest but they are the best too. Easy to contact. Excellent communications throughout. Brilliant service and follow up. Highly recommended Would definitely use again
03/01/2024,01/01/2024,Excellent service,Excellent service
03/01/2024,01/01/2024,Sign up,"Easy process, clear information and value for money."
03/01/2024,01/01/2024,My annually invoiced contract was massively increased.,"My annually invoiced contract was coming up for renewal at the end of January and I had an email advisory from this company saying that the monthly equivalent (but annually billed) rate was going up from just over 5 pounds per month to over 14 pounds per month! So an over 2.5 times increase in premium. I had no claims and the same items of equipment i.e. no changes at all. I informed them that I would not be renewing based on this. Within a couple of days, I had a further email now saying they could do it for just over 8 pounds per month. It's like dealing with a shady used car dealership. I don't want a negotiation- I want a rock-solid reliable provider. I declined their volatile offer and canceled the renewal direct debit due in a few weeks. I then received a further email saying that my account is immediately suspended even though I have a few weeks left. So they have declined to provide a full years cover purely because I don't agree to a massive price increase and a renewal for the next year. I will certainly not be using them again and thankfully never had to lodge a claim. Now, they will respond to this post by either saying: (a) they can't identify me (i.e. this is intended to convince you, new Customer, that this is a fake review- it's not) or (b) please call us to discuss (that is intended to show you, new customer, how customer focussed they are and is not intended to offer me anything different).I guess my rating and advice on this vendor is pretty clear."
03/01/2024,01/01/2024,Considerate and polite,Considerate and polite
03/01/2024,01/01/2024,"Quick,efficient and on time","Quick,efficient and on time"
03/01/2024,01/01/2024,Lewis the engineer was great,"Lewis the engineer was great. Explained everything, did a thorough check was very polite and helpful. Thank you Lewis 😊"
03/01/2024,01/01/2024,Good job,Completed the work within a good time frame and was polite and friendly.
03/01/2024,01/01/2024,He was great did he job perfect thanks,He was great did he job perfect thanks
03/01/2024,01/01/2024,Work was carried out quick and…,Work was carried out quick and efficiently
03/01/2024,01/01/2024,Very easy to sign up and Download the…,Very easy to sign up and Download the app
03/01/2024,01/01/2024,Very easy to use website and courteous…,Very easy to use website and courteous staff
03/01/2024,01/01/2024,Just changed boiler cover from Corgi to…,Just changed boiler cover from Corgi to 247 home rescue as a lot cheaper for same cover   Website was easy to navigate through to get policy I was interested in. Have not actually had to use  the service yet but hopefully there will not be any issues as customer cares people have already phoned me twice to see if I’m happy with service so far
03/01/2024,01/01/2024,Really quick service,"Really quick service, all about the Customer Service experience."
03/01/2024,01/01/2024,Easy sign up,Easy sign up. Good options for services
03/01/2024,01/01/2024,Very easy process to sign up the cover,Very easy process to sign up the cover
03/01/2024,01/01/2024,Straightforward and easy to sign up,Straightforward and easy to sign up
03/01/2024,01/01/2024,Easy to use website,Easy to use website.  Wide selection of services available at competitive prices.  Quick and easy q&a’s to complete application.
03/01/2024,01/01/2024,Easy to use.,Easy to use.
03/01/2024,01/01/2024,Both guys who dealt with the call was…,"Both guys who dealt with the call was very friendly and helpful. When the call dropped the 1st guy shakeel I think his name was, he also rang me back to get it sorted. The guy set up my policy was also very helpful and did everything as I requested. GOOD JOB.THANK YOU"
03/01/2024,01/01/2024,Easy application.,Easy application.
03/01/2024,01/01/2024,Easy and straightforward,A good deal and straightforward quick process!
03/01/2024,01/01/2024,Good service,Rung me quickly to discuss policy and were helpful. Haven’t used them in an emergency yet.
03/01/2024,01/01/2024,Customer service very good.,Phoned and book a boiler care package. Customer service assistant took the trouble to book a date suitable. Excellent process. Now to see how the service goes.
03/01/2024,01/01/2024,Good engineer,Quick response
03/01/2024,01/01/2024,Very good service thank you,Very good service thank you
03/01/2024,01/01/2024,Good rate of cover,Good rate of cover
03/01/2024,01/01/2024,Fix completed quickly once the engineer arrived.,"This was a recall visit when our heating system stopped working shortly after a previous repair had been successfully completed. The recall was quickly accepted by the call centre, though I was a little disappointed that there would be a delay of 4 days before the engineer could come because it was reported on Friday and a weekend and New year's Day were upon us. On the Tuesday scheduled, the engineer rang first thing and arrived shortly after. The engineer checked the wiring and found a loose connection as the likely cause, tightened the connection and tested the system. The engineer was friendly and efficient and very helpful, which made the whole experience as pleasant as possible."
03/01/2024,01/01/2024,Easy sign up though the,"Easy sign up though when filling out information about our boiler it was a laggy site, meant we couldn’t put that our boiler is 5 years old and not 12 months"
03/01/2024,01/01/2024,Found it easy and simple to buy online,Found it easy and simple to buy online. Prices are competitive as well
03/01/2024,01/01/2024,on time and seems job done well as…,on time and seems job done well as engineer described
04/01/2024,01/01/2024,"No fuss,no drama,everything dealt with…","No fuss,no drama,everything dealt with perfectly."
04/01/2024,01/01/2024,Ryan the engineer was great,"Ryan the engineer was great, work ethic, conduct, he gets 10 out of 10.  Deserves a bonus."
04/01/2024,01/01/2024,Very prompt response and sorted issue…,Very prompt response and sorted issue out quickly
04/01/2024,01/01/2024,Jamie was lovely,"Jamie was lovely, a very helpful and knowledgeable guy 😊"
04/01/2024,01/01/2024,Very good service,Very good service. Punctual and friendly.
04/01/2024,01/01/2024,Good service,Good service
04/01/2024,01/01/2024,Excellent service,Excellent service
04/01/2024,01/01/2024,Engineer was friendly and efficient!,Engineer was friendly and efficient!
04/01/2024,01/01/2024,Good arrived on tome,Good arrived on tome
04/01/2024,01/01/2024,Good boiler service by their engineer…,Good boiler service by their engineer John.
04/01/2024,01/01/2024,Great response,Great response. Great company.
04/01/2024,01/01/2024,good service,"John the engineer arrived in good time, was polite and quick ti get the service done"
04/01/2024,01/01/2024,Very polite,Very polite
04/01/2024,01/01/2024,Boiler service completed,Boiler service completed
04/01/2024,01/01/2024,very nice friendly and polite engineer,very nice friendly and polite engineer
04/01/2024,01/01/2024,Good service,Good service provided
04/01/2024,01/01/2024,24/7 service,"Very friendly and knowledgeable  engineer, a credit to his employers"
04/01/2024,01/01/2024,The engineer Rashid was very…,The engineer Rashid was very knowledgeable and professional.
04/01/2024,01/01/2024,Boiler service,"A very friendly and knowledgeable  engineer, a credit to his employers"
04/01/2024,01/01/2024,Good service,On time Good service
04/01/2024,01/01/2024,Engineer visit,I was phoned to put this review on and advised it was about my engineer visit. My Engineer was lovely very polite and very thorough on my boiler maintenance.  He noticed something that hadn't been done properly by last person and missed by previous maintenance from another company. Fantastic service from him! Regarding 24 /7 it takes a long time to get visit booked in and previous one got cancelled so waited another month but least worth it in the end and they did call before to try and sell me a product which I said no to.  Would also be good if you got a time slot nearer the time rather than having to be on standby for a full day.
04/01/2024,01/01/2024,Good experience,Good experience
04/01/2024,01/01/2024,247homerescue useless…,"I am disabled OAP and considered to be vulnerable so some things in life i need. Heating died, so Called 247 on Friday 29th due to no heating paid a 95.00 excess fee - engineer arrived 30th Dec 23 looked at system and said he had ordered new parts. not heard from again until pm 1st Jan 24 to say job is complete - NO ITS NOT STILL NO HEATING- 2nd engineer came out on 3rd Jan said he had ordered the parts, when he arrived I did have hot water but now NO LONGER HAVE HOT WATER - then on 4th Jan I am told I have to pay 108.00 for a drain down  for them to fit the parts,  so central heating is not really covered because if they need to fit parts they will charge you - day 7 tomorrow without heating and now no hot water - parts not ordered until i pay the £108.00 . They are supposed to supply 2 heaters if they cannot fix the heating they tell me I have to buy these and they will reimburse me  £30 - um no thanks decent heaters cost more than £30 each. the call system is a joke where the agents blame you for the delay in repairs. The complaints department if it exists seems to be unreachable. I feel like I am being SCAMMED by this company the contract is pretty much worthless.AVOID at all costs - the company name gives a feeling of immediate repairs  - pigs will fly firstUPDATE: they want me to pay the 108.00 and they will credit me 2 months premiums (about £26.00) as a gesture of good will.... its a joke shove the offer .... 7 days without heating and now 2 days with no hot water. Its costing me an extra 10 to 15 per day in additional cost for heating and hot water and they still wont resolve my heating. THE INSURANCE CONTRACT IS WORTHLESS.OMBUDSMAN, RIP OF BRITAIN AND COURTS  IN WAITING. OH AND THE CALL CENTRE IS IN KARACHI AND THEY HAVE NO UNDERSTANDING OF HEATING ISSUES ONLY WANTING WANTING PAYMENTS.UPDATE 5th Jan 24Took several calls to get the complaints department - don't believe it is the complaints department as the caller is in Karachi to call me. If I pay the scam money to get a drain down done they cannot say when it can be done 1 day, 2 days,  one week ??????.Have asked for a resolution letter but they are reluctant to provide this. day 8 tomorrow"
04/01/2024,01/01/2024,Good service,Good service
04/01/2024,01/01/2024,Very polite and job well done.,Very polite and job well done.
04/01/2024,01/01/2024,I found it so easy and quick to set up…,I found it so easy and quick to set up and very pleased for what was on offer for the price. Thank you so much for getting back to me straight away.
04/01/2024,01/01/2024,Great job,Great job. He was polite and completed the job well.
04/01/2024,01/01/2024,Offered the best deal.,Offered the best deal.
04/01/2024,01/01/2024,The engineer Shane was very good 👍👍,The engineer Shane was very good and friendly
04/01/2024,01/01/2024,Very helpful and explained all well,Very helpful and explained all well
04/01/2024,01/01/2024,Great Deal & Excellent Cover,"Easy accessible site, excellent cover and price"
04/01/2024,01/01/2024,Easy to sign up,Easy to sign up
04/01/2024,01/01/2024,Lovey gentleman on the phone who…,Lovely gentleman on the phone who understood my needs and supplied me with the appropriate product at a very good price.
04/01/2024,01/01/2024,Very pleasant operative,Very pleasant operativeExplained the cover very well and offered extra discount not available on the website alone
04/01/2024,01/01/2024,Quick process to sign up,"Quick process to sign up, hope the policy is as good."
04/01/2024,01/01/2024,The Engineer arrived on time and…,The Engineer arrived on time and delivered a good service.  No issues
04/01/2024,01/01/2024,Very efficient and helpful,Very efficient and helpful
04/01/2024,01/01/2024,Seem a good company the lady who dealt…was polite abd gave lots of informtion.And made me clear,Seem a good company the lady who dealt eith me
04/01/2024,01/01/2024,Had a voucher..nowhere to add and…,Had a voucher..nowhere to add and signed up at full price..will be cancelling
04/01/2024,01/01/2024,Landlord home are cover,"Excellent communication , not pushy at all and sent on the quote quickly . Very helpful member of the team wio was clear and precise ."
05/01/2024,01/01/2024,Every call I’ve had from 24/7 is about…,Every call I’ve had from 24/7 is about how company can make money. After talking with 3 different customer service representatives I’ve not had any response regarding my landlord gas safe certificate
05/01/2024,01/01/2024,Pleasant,Turned up as arranged. Service complete. Lots of information about running costs and what is best for the actual lifecycle of the boiler.  Very respectful and pleasant.
05/01/2024,01/01/2024,"This company will end up costing you money, use a reputable company and pay a little more!! I switched 3 of my rented properties to…","I switched 3 of my rented properties to this service from British Gas to save money.. big mistake!! I had so many problems with this company it was unbelievable!! The main problem being how this company establish when a boiler is beyond economical repair!!If your boiler is 6/7/8 year old don’t bother using this company as any call out will be beyond economical repair which is basically a con to try to sell you a much overpriced boiler! I ended up switching back to British Gas who repaired without any issues!Ref: WS580410After your reply this was the property Ref. above, but the same issues occurred at another property covered with you and that’s why I have cancelled all 3 contracts!"
05/01/2024,01/01/2024,Very quick and good job,Very quick and good job
05/01/2024,01/01/2024,Plumber was very friendly,Plumber was very friendly. Job done efficiently. Communication from 24/7 and plumber very good.
05/01/2024,01/01/2024,Very honest and professional,Very honest and professional
05/01/2024,01/01/2024,Great work. Well Done,Gaurav Pal attended the Boiler breakdown and is service was top notch. He clearly explained the fault and replaced the   Boiler pump that was jammed and  very difficult to remove .Eventually he did the job with all his expertise experience. I  have no seconds thoughts in recommending him .Great work. Well Done
05/01/2024,01/01/2024,Call out on a boiler,The engineer was very polite and helpful.  Makes a change to have someone who understands
05/01/2024,01/01/2024,Jack was very professional and very…,"Jack was very professional and very polite, he also found the fault and dealt with it.I would definately recommend."
05/01/2024,01/01/2024,Engineer was excellent and would…,Engineer was excellent and would recommend him and 24/7 for a first class service.
05/01/2024,01/01/2024,A good experience with the organisation…,A good experience with the organisation and the specialist who cam over for the yearly visit. To be recommended
05/01/2024,01/01/2024,Engineer was polite & carry out the…,Engineer was polite & carry out the service efficiently
05/01/2024,01/01/2024,VERY GOOD SERVICE.,VERY GOOD SERVICE.
05/01/2024,01/01/2024,The engineer called 30 minutes before…,"The engineer called 30 minutes before he actually arrived,which was great, he arrived on time, small introduction and he got on with sorting out my boiler. He was polite and explained to detail what the cause was with my combi boiler. In no time my boiler was up and running.I can highly recommend the engineer excellent service from start to finish"
05/01/2024,01/01/2024,Recently started a policy with them and…,"Recently started a policy with them and gave them my make if boiler and told them it’s a few years old bit not sure how old, I noticed the policy states it’s only one year old which is obviously not correct and the site would not let me change the fact. I am trying to cancel but they are trying to make it difficult by putting obstacles in place.Ref number is WS630765 and all I am getting now is messages telling me my direct debit has been cancelled which obviously I am aware of because I cancelled it also threatening my credit file if I don’t reinstate cover!!! To be honest not interested what so ever as the way you conduct business is both threatening and quite honestly a little bit desperate to get your £15.99 a month!!! Please stop texting and e-mailing me…..16/02/2024 STILL GETTING LOADS OF TEXTS AND EMAILS DESPITE GIVING YOU THE REG NUMBER!!!! Go away and stop bothering me!!!!!!!"
05/01/2024,01/01/2024,Daniel did a great job on boiler service,Daniel did a great job on boiler service
05/01/2024,01/01/2024,Engineer was very helpful explaining…,Engineer was very helpful explaining what he was doing and what the process was
05/01/2024,01/01/2024,Broken radiator,Phoned to say my radiator was broken 2 days later the engineer came and fixed it this was the fist time I have been with this company and hopefully it will continue
05/01/2024,01/01/2024,Had a few repairs in the past,"Had a few repairs in the past, prompt with servicing and call outs"
05/01/2024,01/01/2024,Very good and efficient,Very good and efficient
05/01/2024,01/01/2024,"Polite,fast and good communication.","Polite,fast and good communication."
05/01/2024,01/01/2024,"Friendly, helpful and supportive",Ive been with 24/7 home rescue for over a year now and I am impressed with the customer service and support. I would definitely recommend.
05/01/2024,01/01/2024,Friendly efficient service,"Came at advised time. Friendly and Dealt with boiler service as required, with out mess and clearing up afterwards"
05/01/2024,01/01/2024,Very good service and polite,Very good service and polite
05/01/2024,01/01/2024,Good engineer very professional and on…,Good engineer very professional and on time and very informative many thanks 👍
05/01/2024,01/01/2024,Easy to sign up,Easy to find online good experience
05/01/2024,01/01/2024,Easy to sign-up and knowledgeable and…,Easy to sign-up and knowledgeable and helpful people
05/01/2024,01/01/2024,polite understanding and very…,polite understanding and very professional
05/01/2024,01/01/2024,Good service,"Sean was great. He was quick, knowledgeable and friendly"
05/01/2024,01/01/2024,Helpful and checked over the boiler,Helpful and checked over the boiler
05/01/2024,01/01/2024,Beware of being doubled charged your excess for a repair,Engineer arrive and advised we needed two parts replaced on the heating system but he had only one part in the van and would need to order second part. 24/7 are now stating they will not replace the second part unless I pay a second excess charge. Why should I pay double excess because they did not stock the part in the van.
05/01/2024,01/01/2024,If I could give less than 1 star I would. Terrible customer service!,"If I could give less than 1 star I would. I haven't had a single instance with these guys that was not a headache. The team on the phone is extremely unhelpful and not well trained on customer service. I have this insurance so I don't worry about home repairs but instead it's always a pain every time I call. They try to push back on claims! The latest one was an electrical issue in the circuit of the washing machine socket and they say they do not cover isolated circuits. Watch out as they pick and choose and push back like hell. All my experiences with them have been a headache. I have asked for my services to be cancelled and I paid an excess, that's how much I needed to get rid of these guys. Even though they were the ones that didn't fulfil the agreement. The good reviews here have to be fake because believe. me they are inflexible and I urge you not to get cheated like I was."
05/01/2024,01/01/2024,Excellent service,Excellent service
05/01/2024,01/01/2024,Professional technician,Professional technician. Polite. Explained the key facts and shared useful insights.
05/01/2024,01/01/2024,"Homercare Cover for boiler,service,plumbing and electrics","Service received very good,very competitive prices,previous British Gas customer who unfortunately were extremely expensive and made me feel under valued"
05/01/2024,01/01/2024,Harris was amazing and very helpful,Harris was amazing and very helpful. He was extremely patient and explained the policy in great depth. I would give him a 10 on 10 for his help.
05/01/2024,01/01/2024,online registration easy and polite…,online registration easy and polite advisor in our follow up call
05/01/2024,01/01/2024,Straight forward to arrange cover and…,Straight forward to arrange cover and at a good price.
05/01/2024,01/01/2024,Easy to set up and good value,Easy to set up and good value
05/01/2024,01/01/2024,Got the quote instantly for Homecare…,Got the quote instantly for Homecare much lesser price than compare website. Harris was good through out the process. The calls were dropping multiple times apart from that no issues.
05/01/2024,01/01/2024,Had my boiler serviced done,"Had my boiler serviced done, the engineer called me before so I knew when he was likely to arrive. He was friendly and pleasant throughout. The engineer explained what he was doing and was knowledgable. Overall good experience."
05/01/2024,01/01/2024,Easy,"Sorted on-line, simple."
06/01/2024,01/01/2024,Great service,"Great service. Engineer checked the boiler, gave it a service, and replaced the faulty motorised valve very quickly."
06/01/2024,01/01/2024,The engineer (Alexander) was very…,The engineer (Alexander) was very polite and professional. He completed the works to my satisfaction and offered advice on my boiler.
06/01/2024,01/01/2024,The gentleman was polite,"The gentleman was polite, friendly,  done the job timely and efficiently,  good communication"
06/01/2024,01/01/2024,Friendly staff and great communication,"Very positive experience with the company. They called me to arrange a boiler service, they kept me updated, communication was brilliant. Shaun Douglas came to do my service, he was polite and professional.I enquired about a smart thermostat and got a call a few hours later with a quote and this was arranged the next day. Nadeem Zafar came to install it the next day, he was very knowledgeable and friendly. I am happy to recommend this company."
06/01/2024,01/01/2024,Great service engineer was here next…,Great service engineer was here next day customer care very helpful.
06/01/2024,01/01/2024,Avoid this company,Avoid this company!  They refused to repair my boiler as they deemed it 'beyond economical repair' despite the fact they new the model and age of my boiler when they agreed to start taking my monthly premiums.  Basically their policy terms meant that there was no way they would ever pay out more than the premiums I would be paying them over a year.
06/01/2024,01/01/2024,One word CON,One word CON
06/01/2024,01/01/2024,24/7 home emergency,"Taken out policy 15 months ago, landlords emergency cover, £17.99 per month. Leak in bathroom called 24/7 and advised needed a plumber quickly. Where is the leak? Cannot send plumber unless you can tell us where the leak is, exact leak site. I’m at work. Please take photos so we can see the leak and access where it is, I’m still at work? Please go home and take pictures and we will decide if we can deal with your emergency. Sitting room ceiling now has come down. Still leaking. Cancelled policy, rubbish service. Call centre handlers brilliant but have to stick with company policy. Policy number WS556366."
08/01/2024,01/01/2024,All good thank you,All good thank you
08/01/2024,01/01/2024,Engineer was great,"Engineer was great, told me exactly what he had done in the service and informed me of how the boiler is performing."
08/01/2024,01/01/2024,Attentive and personable.,Attentive and personable.
08/01/2024,01/01/2024,Fast,"Fast, efficient boiler service included in plan - very helpful."
08/01/2024,01/01/2024,Very helpful and patient,Very helpful and patient
08/01/2024,01/01/2024,Recommend 24/7 rescue,"It was good experience dealing with 24/7 rescue, representative was very helpful."
08/01/2024,01/01/2024,Good experience.,The engineer was polite and knowledgeable. He was on time as well.
08/01/2024,01/01/2024,No issues,"No issues, all good"
08/01/2024,01/01/2024,Absolutely fantastic service,Absolutely fantastic service
08/01/2024,01/01/2024,Polite and knowledgable,Polite and knowledgable
08/01/2024,01/01/2024,Helpful and easy to talk with,Helpful and easy to talk with
08/01/2024,01/01/2024,Very helpful and informative,Very helpful and informative
08/01/2024,01/01/2024,Everything explained well,Everything explained well
08/01/2024,01/01/2024,Max was great,"Max was great.  Knowledgeable, professional and respectful of my property."
08/01/2024,01/01/2024,Great service,Great service
08/01/2024,01/01/2024,Easy to sign,Easy to sign
08/01/2024,01/01/2024,Helpful,Good customer service.
08/01/2024,01/01/2024,My son in-law set this up for us,"My son in-law set this up for us, as he is already a member, nax time was 15mins"
08/01/2024,01/01/2024,Good costumer’s services,Good costumer’s services
08/01/2024,01/01/2024,Very helpful &knowledgeable.,Very helpful &knowledgeable.
08/01/2024,01/01/2024,Please DON’T take cover out with 24/7,"Please, please, please think very carefully before taking out a contract with this company. We have a Home Care policy which covers plumbing amongst other things and when I logged a claim regarding a leaking water pipe in the kitchen, I was initially told that an engineer would NOT be able to come out until the leak was clearly identifiable, visible and accessible. Forgive my confusion, but is this not part of a plumber’s remit?After taking advice from a plumber friend, my husband cleared the area around the pipe. The leak was now clearly visible and accessible.Great, we thought, 247 Home Rescue will now be able to help and I immediately logged the claim a second time. How wrong we were : (When the call handler phoned me I again explained the fault but I was told because I’d informed (wrongly - it’s not the main supply pipe at all. But hey, what do I know about plumbing?) him it was a main water supply pipe, this is not covered under the policy. I actually asked how can they provide plumbing services when they don’t do plumbing? Ludicrous?!?! I was then asked to email a photo over which I did straight away. It’s now 24 hours later and I’ve still not received any communication from them.Please be extremely cautious before you sign on the dotted line.Please also note that the majority of 5* reviews on here are for the low price of the cover or boiler services."
08/01/2024,01/01/2024,Easy sign up for service policy,Easy sign up for service policy
08/01/2024,01/01/2024,Easy to process,Easy to process
08/01/2024,01/01/2024,Easy to sign up,Easy to sign up
08/01/2024,01/01/2024,Representative was helpful,Representative was helpful
08/01/2024,01/01/2024,Very easy,Very easy overall
08/01/2024,01/01/2024,Pleased with set up easy to do,Pleased with set up easy to do
08/01/2024,01/01/2024,Easy to follow online form and a great…,Easy to follow online form and a great support teamThanks
08/01/2024,01/01/2024,Simple to arrange and hopefully live up…,Simple to arrange and hopefully live up to their expectations
08/01/2024,01/01/2024,Very easy to sort out.advisor very good…,Very easy to sort out.advisor very good and professional
08/01/2024,01/01/2024,Very efficient process,Very efficient process
08/01/2024,01/01/2024,Easy to use,Easy to use and quick to set up
08/01/2024,01/01/2024,Grea quickly to find,Grea quickly to find
08/01/2024,01/01/2024,Our engineer was helpful and explained…,Our engineer was helpful and explained what he did to our boiler and efficient
08/01/2024,01/01/2024,"Just cancelled my policy,","Just cancelled my policy,Had a Issue with combi pressure over 12 months ago.  Paid the excess for a repair and not really had the heating running, but when we did run the heating the issue was not resolved.  Recently we paid another another excess to fix the pressure issue again and not resolved again.  Reported this 4 weeks from engineer visit, and was told had to pay another excess because they only cover their work for 14 days.Had numerous conversations with them until had enough and cancelled.ONLY COVER REPAIRS FOR 14 DAYS BEWARE."
