Date,Year-Month,Final Product Category,Review,spam_label,spam_confidence,detected_lang,is_english,has_justification,review_weight
03/01/2024,01/01/2024,Gas Products,"If it was possible to give this company 0 starts I would. I had been a long standing customer of Corgi Homeplan for several years but after they refused to settle a claim saying a radiator was incorrectly installed (it was installed 8 years prior to us moving into the property). After speaking to the plumber (who was sent) and ended up mending it privately for us - he said the engineers (like him) don't get paid anything by Corgi for the callout fee which means their ""callout fee"" is essentially admin cost and they always have to battle with them for any kind of money... I questioned why I even bothered having insurance first place. After battling with the pointless complaints process I just gave up and I'd avoid as they never actually covered anything in the years we had them (we'd used them multiple times for small boiler faults and other heating related issues but never anything beyond 1/2 hours work) it just became apparent it was a waste of money.",LABEL_0,0.933,en,True,True,1.0
03/01/2024,01/01/2024,Gas Products,Easy to contact to report fault. Engineer contacted us quickly to arrange appointment. Al sorted within a few hours,LABEL_0,0.914,en,True,False,0.9
03/01/2024,01/01/2024,Gas Products,Quick response to request for engineer.  Issue successfully resolved.,LABEL_0,0.923,en,True,False,0.9
04/01/2024,01/01/2024,Gas Products,An Excellent service - the engineer had good communication skills phoning before attending. On attending he was polite and competent and cured my incontinent boiler.,LABEL_0,0.924,en,True,False,0.9
04/01/2024,01/01/2024,Gas Products,"Very helpful and clean, and worked hard to get the job completed. 👍",LABEL_0,0.938,en,True,False,0.9
04/01/2024,01/01/2024,Gas Products,Nothing is ever too much trouble for the customer service team. The engineer they sent me was professional and experienced he went above and beyond to resolve the issue asap. I was very satisfied with the service.,LABEL_0,0.925,en,True,False,0.9
04/01/2024,01/01/2024,Gas Products,"I used the online method of contact and that was quick and easy with a very rapid response, the engineer really new his job and my problem was fixed in short order. What can I say, the company has proved its worth in looking after its customers. Thank you.",LABEL_0,0.936,en,True,False,0.9
04/01/2024,01/01/2024,Gas Products,I have had  to call on Corgi a couple of times in the year  my experience in both heating and electrical  very good well pleased. Also the service once a year on the boiler is good.,LABEL_0,0.932,en,True,False,0.9
04/01/2024,01/01/2024,Gas Products,"Boiler service all done and very happy with the Engineer and with the customer service team.Satisfied with Corgi on the whole, it’s good to have peace of mind and helpful efficient staff and service make a big difference!",LABEL_0,0.732,en,True,False,0.9
04/01/2024,01/01/2024,Gas Products,"A long wait on telephone to actually speak to someone, but repair carried out successfully next day",LABEL_0,0.934,en,True,False,0.9
04/01/2024,01/01/2024,Gas Products,Engineer attended on Christmas Eve. Made boiler work temp so heating was working. Ordered the part. Came back asap. Job done. Brilliant. Cannot thank the engineer enough.,LABEL_0,0.933,en,True,False,0.9
04/01/2024,01/01/2024,Unknown,Problem solved,LABEL_0,0.926,da,False,False,0.45
04/01/2024,01/01/2024,Home Electrical,"I wasn't expecting such a quick response with it being the holiday period, I really like the app for requesting a call out. Very easy to navigate and very quick to respond.",LABEL_0,0.937,en,True,False,0.9
05/01/2024,01/01/2024,Gas Products,Prompt response to reporting our fault.Next day engineer who repaired the fault,LABEL_0,0.933,en,True,False,0.9
05/01/2024,01/01/2024,Gas Products,"After the holidays, thought it might take time to get an engineer out. But derive was prompt and efficient",LABEL_0,0.937,en,True,False,0.9
05/01/2024,01/01/2024,Gas Products,"My initial phone call was answered by one of your Advisers promptly. There was no waiting in a long queue and I spoke to a person not a robot. The engineer who came out to fix the fault was very prompt, knowledgeable, efficient and friendly. An excellent level of service throughout.,",LABEL_0,0.932,en,True,False,0.9
05/01/2024,01/01/2024,Plumbing & Drains,"Initial call handled sympathically quick response on appointment arrangement, professional resolution of problem and helpful advice given.",LABEL_0,0.883,en,True,False,0.9
05/01/2024,01/01/2024,Plumbing & Drains,"Thought I had done this but not good with technology.      Very good, efficient, pleasant man.   And all now working well in the bathroom.    Thank you.",LABEL_0,0.938,en,True,False,0.9
05/01/2024,01/01/2024,Gas Products,General service over contract was satisfactory.but at the end to abruptly tell me you could no longer look after the boiler although you were still taking monthly payments I felt was unfair,LABEL_0,0.923,en,True,False,0.9
05/01/2024,01/01/2024,Gas Products,"Prompt service, friendly, efficient and informative engineer who arrived at the time stated and kept us informed.",LABEL_0,0.924,en,True,False,0.9
05/01/2024,01/01/2024,Gas Products,From requesting help to completing the job took no more than 2 hours.,LABEL_0,0.935,en,True,False,0.9
05/01/2024,01/01/2024,Gas Products,Three hours from phone call to corgi till heating up and running and on Sunday the 31st of Dec.Brilliant,LABEL_0,0.935,en,True,False,0.9
05/01/2024,01/01/2024,Gas Products,"Great customer service skills, very efficient engineers",LABEL_0,0.822,en,True,False,0.9
05/01/2024,01/01/2024,Gas Products,Amazing response time. 30 minutes after getting in touch we had an engineer working on our boiler. Very professional polite pleasant chap as well. Thanks.,LABEL_0,0.935,en,True,True,1.0
05/01/2024,01/01/2024,Gas Products,From first contacting Corgi we have been impressed by the prompt service provided. All the promises were kept by the informed & courteous staff.,LABEL_0,0.908,en,True,False,0.9
05/01/2024,01/01/2024,Unknown,Friendly assistance.,LABEL_0,0.934,en,True,False,0.9
05/01/2024,01/01/2024,Unknown,helpful and pleasant,LABEL_0,0.935,en,True,False,0.9
05/01/2024,01/01/2024,Unknown,Sso polite and puntual. I was given information despite of holiday break.Excellent service,LABEL_0,0.931,en,True,False,0.9
05/01/2024,01/01/2024,Gas Products,Call centre good. Engineer excellent,LABEL_0,0.934,en,True,False,0.9
05/01/2024,01/01/2024,Unknown,Very helpful and efficient,LABEL_0,0.935,en,True,False,0.9
06/01/2024,01/01/2024,Unknown,"I am happy with the job, the engine was very helpful and polite.",LABEL_0,0.938,en,True,False,0.9
06/01/2024,01/01/2024,Unknown,Prompt response,LABEL_0,0.92,fr,False,False,0.45
06/01/2024,01/01/2024,Home Electrical,"I had an electrician for my problem in kitchen. He was very kind and helpful, also done his job completed. Thanks",LABEL_0,0.937,en,True,False,0.9
06/01/2024,01/01/2024,Gas Products,When I phoned about my heating not working they sen t the Engineer within a few hours.I am very happy with the service and would recommended to anyone.,LABEL_0,0.937,en,True,False,0.9
06/01/2024,01/01/2024,Gas Products,Immediate response to a callout and engineer call/visit unlike my experience with other home care providers.,LABEL_0,0.917,en,True,False,0.9
06/01/2024,01/01/2024,Gas Products,"Both engineers who visited us were excellent.  However, the 1st engineer never returned, as promised, to finish the job.  Hence the 3 star score.  It took nearly 1 month to get a 2nd engineer to come out and finish the job.  Again he was excellent and had our problem been solved in a timely manner the score would have been higher.  We appreciate it's a busy time of year but we expect to get the service we've been paying for and you either need more engineers or insist they work overtime.  Failure to deliver will only result in customers leaving Corgi.",LABEL_0,0.908,en,True,True,1.0
06/01/2024,01/01/2024,Plumbing & Drains,Very polite and friendly plumber who arrived promptly and was very professional and knowledgeable.,LABEL_0,0.936,en,True,False,0.9
06/01/2024,01/01/2024,Home Electrical,"The engineer turned up within two days of my request which I thought was excellent given the workload over the festive period. We had provided a photo of the errant temp control and he had sourced the necessary replacement in the interim. He fitted the new unit quickly and efficiently and then was on his way, not stopping for a cup of tea!",LABEL_0,0.927,en,True,False,0.9
06/01/2024,01/01/2024,Unknown,Very Happy with the service I received. 😀,LABEL_0,0.938,en,True,False,0.9
06/01/2024,01/01/2024,Gas Products,prompt and efficient service,LABEL_0,0.857,en,True,False,0.9
06/01/2024,01/01/2024,Plumbing & Drains,Faulty radiator TRV replaced within 2 hours of booking.,LABEL_0,0.926,en,True,False,0.9
07/01/2024,01/01/2024,Appliance Cover,fast and very friendly service but very quick with the part done within four days thankyou,LABEL_0,0.933,en,True,False,0.9
07/01/2024,01/01/2024,Appliance Cover,The response to my claim was so prompt that it took me by surprise!,LABEL_0,0.936,en,True,False,0.9
07/01/2024,01/01/2024,Appliance Cover,Only marked down because it took so long to source the part,LABEL_0,0.936,en,True,True,1.0
07/01/2024,01/01/2024,Gas Products,"Great office staff when I phoned. Polite, freindly and understanding. Engineer arrived as they said and was very proffessional, knowledgeable and helpfull. Good service all round.",LABEL_0,0.925,en,True,True,1.0
07/01/2024,01/01/2024,Gas Products,New year morning woke up to error F32 on my valliant boiler.  Spoke to Corgi customer service advised someone will be in contact next 24 hrs.  Soon after received text engineer would be with me that afternoon.Later that night another text engineer will call next day to fix new fuel pipe. What fantastic service.  Thank you to all.  Happy New year,LABEL_0,0.866,en,True,False,0.9
07/01/2024,01/01/2024,Appliance Cover,No nonsense repair,LABEL_0,0.934,pt,False,False,0.45
07/01/2024,01/01/2024,Gas Products,Carried out eventually due to first engineer unable to come,LABEL_0,0.935,en,True,True,1.0
08/01/2024,01/01/2024,Gas Products,"Very quick service, a polite engineer turned up the same day as I logged the call. Knowledgeable and helpful.",LABEL_0,0.938,en,True,True,1.0
08/01/2024,01/01/2024,Gas Products,It was easy to report the fault with my boiler online and a local engineer was sent round the same day to diagnose the problem which required a Worcester Bosch engineer to fix a couple of days later. Good communication throughout. Both engineers arrived on time and were polite and friendly and the boiler is now behaving properly.,LABEL_0,0.882,en,True,False,0.9
08/01/2024,01/01/2024,Gas Products,"Really pleased with the service from Homeplan. Had no hot water or heating from Friday morning, called home serve and spoke to a very nice lady who attempted to help troubleshoot, with no success she arranged for an engineer to attend the next morning, I was kept in contact via text and calls from engineer. Problem could not be fixed on Saturday x then received another text to say engineer would attend Monday , part sourced and fitted , back to warmth and hot water by 1p. M Monday , really happy 😊",LABEL_0,0.867,en,True,False,0.9
08/01/2024,01/01/2024,Unknown,Very efficient and well informed,LABEL_0,0.936,en,True,False,0.9
08/01/2024,01/01/2024,Gas Products,"my gas boiler was blowing my electrics at the main fuse box, I attempted to put into a few words what was happening on the Corgi online site, unfortunately the site doesn't allow you to tell the full story. So a boiler engineer turned up checked over the boiler but wasn't qualified to investigate the electrics. I then phoned the help line and spoke to a real person, once I'd told them what the problem was a boiler electrician came, he changed two fuses in the boiler and found that the fan was faulty causing the electrics to trip out. Next day new fan installed, everything running fantastic. Recommendation: if its not a simple problem phone and speak to a real person.",LABEL_0,0.929,en,True,False,0.9
08/01/2024,01/01/2024,Plumbing & Drains,A helpful and polite service with A1 plumbers.,LABEL_0,0.935,en,True,False,0.9
08/01/2024,01/01/2024,Plumbing & Drains,Good and understanding customer service Let us choose the plumbing companies that we are happy with for future services / repairs and that’s important to me,LABEL_0,0.877,en,True,False,0.9
08/01/2024,01/01/2024,Gas Products,The engineers are always polite and tells you if there is anything wrong with the boiler or not they are very good at what they do.And so well mannered.,LABEL_0,0.937,en,True,False,0.9
09/01/2024,01/01/2024,Unknown,Very helpful call centre staff,LABEL_0,0.926,en,True,False,0.9
09/01/2024,01/01/2024,Gas Products,The engineer who came to help us (Faro Engineering) was diligent and professional.,LABEL_0,0.935,en,True,False,0.9
09/01/2024,01/01/2024,Gas Products,The Engineer was very kind and also showed me what to do if the same problem comes up again. Thanks.,LABEL_0,0.938,en,True,False,0.9
09/01/2024,01/01/2024,Gas Products,"Tracing the problem is taking a long time, I have had four visits from two engineers and the heating is still not as good as it was.",LABEL_0,0.938,en,True,True,1.0
09/01/2024,01/01/2024,Gas Products,Very pleasant and efficient customer service. Engineer attended on a bank holiday. Quickly identified the problem and repaired it.,LABEL_0,0.93,en,True,False,0.9
09/01/2024,01/01/2024,Gas Products,"Excellent service , came out next day , engineer very knowledgeable and polite, he is a credit to your service .",LABEL_0,0.93,en,True,False,0.9
09/01/2024,01/01/2024,Gas Products,The problem was addressed and resolved to my satisfaction,LABEL_0,0.936,en,True,False,0.9
09/01/2024,01/01/2024,Gas Products,Very helpful service from lady at original call to engineer request. Then excellent service the engineer who solved the problem in no time at all and was very polite and considerate. Thanks to all concerned 😊,LABEL_0,0.899,en,True,False,0.9
09/01/2024,01/01/2024,Gas Products,Speedy response. All sorted within 20 minutes of arrival from engineer. Very happy,LABEL_0,0.934,en,True,False,0.9
09/01/2024,01/01/2024,Gas Products,The quickness of the process to to get an engineer who arrived within a day and was a friendly man did a good job so great service by all 👍,LABEL_0,0.925,en,True,False,0.9
09/01/2024,01/01/2024,Gas Products,I felt I was treated very well by both people I dealt with.  The engineer also pointed out what the problem probably was.,LABEL_0,0.937,en,True,False,0.9
09/01/2024,01/01/2024,Unknown,You came out to my father-in-law was very impressed. You came out  with in a few hour's after I had called,LABEL_0,0.938,en,True,False,0.9
09/01/2024,01/01/2024,Unknown,I have already answered a review yeasterday,LABEL_0,0.937,en,True,False,0.9
09/01/2024,01/01/2024,Gas Products,"Friendly and caring telephone response , very quick engineer visit and job completed by pleasant and professional engineer",LABEL_0,0.9,en,True,False,0.9
10/01/2024,01/01/2024,Gas Products,Seamless from reporting to implementation. Problem solved thoroughly by excellent technician.,LABEL_0,0.921,en,True,False,0.9
10/01/2024,01/01/2024,Home Electrical,I was impressed by the speed at which Corgi gave me access to an engineer. However my problem was that my Hive Thermostat was not communicating with the Hive Hub. Unfortunately it appears Corgi do not deal with Hive problems.  So I shave been charged a call out fee to be told this!,LABEL_0,0.934,en,True,False,0.9
10/01/2024,01/01/2024,Gas Products,"Your representative was clear in his advice, kindly and helpful in restoring our heating. He gave helpful advice",LABEL_0,0.936,en,True,False,0.9
10/01/2024,01/01/2024,Gas Products,Reported the fault in the morning and the engineer came the same day and fixed the problem.,LABEL_0,0.936,en,True,False,0.9
10/01/2024,01/01/2024,Gas Products,"In 2022 and 2023 I had huge problems trying to arrange for an annual boiler service to be carried out. Bad as 2022 was, last year was far worse. I tried from mid August to early October and the experience was dreadful. Appointments were cancelled on the day of the service, engineers didn't turn up and revised appointments were continually notified without me agreeing them. Eventually I gave up and told them I wouldn't be renewing the arrangement. I wrote to Corgi on the 10 October to complain, ask for a partial refund as the service was never carried out. Received no reply and wrote again on 30 November. I have never had any reply or even an acknowledgent. Shocking service.",LABEL_0,0.911,en,True,True,1.0
10/01/2024,01/01/2024,Gas Products,Very knowledgeable and courteous gentleman on the telephone.  Received a call within 24 hours.  Knowledgeable engineer attended.  Kept us up to date with the problem.  Job passed onto Worcester Bosh.  Awaiting engineer tomorrow to fix the problem.  Kept up to date along the way.,LABEL_0,0.928,en,True,False,0.9
10/01/2024,01/01/2024,Gas Products,"Made initial call to Corgi, within 2 hours an engineer had arrived and fixed the boiler. Wxcellent all round.",LABEL_0,0.924,en,True,False,0.9
10/01/2024,01/01/2024,Unknown,Both the call centre staff and engineer were very helpful.,LABEL_0,0.936,en,True,False,0.9
10/01/2024,01/01/2024,Unknown,Very thorough and polite engineer,LABEL_0,0.937,en,True,False,0.9
10/01/2024,01/01/2024,Gas Products,My telephone call was answered quickly and the person I spoke to was very helpful. The engineer who came out to look at the problem did a good job and came back when he had promised to replace the faulty part causing the issue.,LABEL_0,0.934,en,True,False,0.9
10/01/2024,01/01/2024,Gas Products,"Helpful and caring customer service staff.  Very prompt response.  Engineer arrived with 30 minutes.  Friendly, knowledgeable engineer who explained everything he was doing and why.  He left the house neat and tidy once he had finished his work.",LABEL_0,0.933,en,True,True,1.0
10/01/2024,01/01/2024,Gas Products,Work carried out efficiently by engineer all fully tested and cleaned,LABEL_0,0.925,en,True,False,0.9
10/01/2024,01/01/2024,Gas Products,Engineer was very personable and fixed the problem quickly and efficiently,LABEL_0,0.935,en,True,False,0.9
11/01/2024,01/01/2024,Home Electrical,"Quick response, good communication and a speedy resolution.",LABEL_0,0.936,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,The engineer who attended on 2/1/24 was very good but it has not really solved the issue says I need to speak with corgi about my boiler as this is an ongoing issue,LABEL_0,0.914,en,True,True,1.0
11/01/2024,01/01/2024,Unknown,Easy initial telephone call. Operative was very helpful,LABEL_0,0.934,en,True,False,0.9
11/01/2024,01/01/2024,Unknown,"All Corgi Staff, Engineer and Engineers from Worcester were polite, professional and understanding and kept in mind my clinical vulnerability.I can't fault the service I have received it was first class!I have already replied to a Customer Satisfaction survey regarding this incident when I named all members of Staff who had provided such a great  response and service",LABEL_0,0.916,en,True,False,0.9
11/01/2024,01/01/2024,Plumbing & Drains,"great com,s helpful and understanding of the urgency . it was all sorted with in two hours",LABEL_0,0.937,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,Good service when I needed it thank you,LABEL_0,0.938,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,"Temp repair carried out on first visit enabling boiler use during a very cold spell,then for organising the Baxi engineer appointment to complete the job.",LABEL_0,0.899,en,True,False,0.9
11/01/2024,01/01/2024,Unknown,"Professional & friendly service, in a timely manner.",LABEL_0,0.926,en,True,False,0.9
11/01/2024,01/01/2024,Plumbing & Drains,Called in the morning to report a leak and the engineer came the same afternoon and repaired it.  Fast and Efficient as always.,LABEL_0,0.936,en,True,True,1.0
11/01/2024,01/01/2024,Unknown,Quick response and question answered satisfactorily,LABEL_0,0.927,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,Good customer service from the call centre rep and a fast response time. From phone call and work completed less than 24hrs,LABEL_0,0.832,en,True,False,0.9
11/01/2024,01/01/2024,Plumbing & Drains,"Prompt, efficient and a really considerate plumber.  Thank you 🙏",LABEL_0,0.938,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,Arrived when scheduled quickly sorted out the issue! Excellent service,LABEL_0,0.896,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,I've been with Corgi Homeplan seven years. Only one bad experience with an engineer and Corgi resolved this issue quickly and to my complete satisfaction. The Call Centre staff are professional and helpful. The engineers have been professional and respectful in my home and explained any works that been needed and have arrived in the allocated time period.The plan provides me with the reassurance I need.,LABEL_0,0.933,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,"Very impressed with the service I received. I called to report a boiler leak. Call centre representative was very helpful, and explained what would happen following the fault being reported. Shortly received a call from an engineer who was able to visit the same day. They had the part needed to repair the leak.Very impressed with the service received and would recommend.",LABEL_0,0.923,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,The engineer was very helpful but unfortunately the boiler is still leaking,LABEL_0,0.935,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,"swift service, friendly face, fitted around my day",LABEL_0,0.935,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,"First visit from the tradesman identified the problem, said he would order the part and then return to fit which he did a week later.",LABEL_0,0.935,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,Our boiler problem was sorted very efficiently.,LABEL_0,0.937,en,True,False,0.9
11/01/2024,01/01/2024,Gas Products,Immediate response. The Engineer is very calm and care taking.,LABEL_0,0.938,en,True,False,0.9
12/01/2024,01/01/2024,Gas Products,"The engineer was very prompt, helpful and efficient. And Corgi responded to my call very quickly.I had to wait a couple of days for new parts and then a visit from a Baxi specialist. Thankyou. I am 84 and not in good health so I really appreciated your help. I would recommend you!",LABEL_0,0.937,en,True,False,0.9
12/01/2024,01/01/2024,Gas Products,Prompt service. Problem solved. Friendly engineers,LABEL_0,0.923,en,True,False,0.9
12/01/2024,01/01/2024,Unknown,Fast efficient serviceHighly recommend.,LABEL_0,0.922,en,True,False,0.9
12/01/2024,01/01/2024,Gas Products,"Engineer knew what problem was straight away, had part in van so was fixed in no time.He was very pleasant and friendly.",LABEL_0,0.937,en,True,False,0.9
12/01/2024,01/01/2024,Plumbing & Drains,"The engineer sorted the leak on the inlet valve to the toilet very quickly, he was polite and professional and a joy to deal with.",LABEL_0,0.936,en,True,False,0.9
12/01/2024,01/01/2024,Gas Products,If the engineer had bothered to call and let me know what time he would be here approximately l would have given 5 stars .,LABEL_0,0.938,en,True,False,0.9
12/01/2024,01/01/2024,Unknown,the company is very good at what they do,LABEL_0,0.938,en,True,False,0.9
12/01/2024,01/01/2024,Plumbing & Drains,The engineer came on Thursday the 11th January to fix the leak on the bathroom radiator. And managed to do it without having to get a spare part.  He was very polite.,LABEL_0,0.936,en,True,False,0.9
12/01/2024,01/01/2024,Gas Products,Reliable and thorough technician,LABEL_0,0.926,en,True,False,0.9
12/01/2024,01/01/2024,Gas Products,Prompt response and dealt with problems,LABEL_0,0.935,en,True,False,0.9
12/01/2024,01/01/2024,Gas Products,Had not heard from you'll and it went past the 1yr when I got in touch. I was then given a date into the New Year. However when the time came the Engineer was very good and carried out the checks very competently. I also received the receipt the same day to say all had been done and signed off as was required. A good experience,LABEL_0,0.935,en,True,True,1.0
12/01/2024,01/01/2024,Gas Products,"The person  came checked it all, and ordered a part that was needed, he came back promptly and fixed it.",LABEL_0,0.937,en,True,False,0.9
12/01/2024,01/01/2024,Gas Products,The engineer suggested what the problem is and took steps to escalate.,LABEL_0,0.937,en,True,False,0.9
12/01/2024,01/01/2024,Gas Products,Boiler repaired on the same day,LABEL_0,0.931,en,True,False,0.9
12/01/2024,01/01/2024,Home Electrical,On time.  Knew what he was doing.  Fixed the problem.  All working as it should be.,LABEL_0,0.938,en,True,True,1.0
12/01/2024,01/01/2024,Gas Products,"The engineer was particularly pleasant and helpful and gave what checked out to be good advice. Had I been able to wait for his company to replace my now defunct boiler, I would have.",LABEL_0,0.936,en,True,False,0.9
13/01/2024,01/01/2024,Unknown,The response of helpline was prompt,LABEL_0,0.935,en,True,False,0.9
13/01/2024,01/01/2024,Unknown,"Honest patient and understanding.Explained the problem and sorted out the solution with a minimum of fuss , really pleased with the clean work, would have no hesitation in recommending Norman to anybody who he could help.",LABEL_0,0.927,en,True,False,0.9
13/01/2024,01/01/2024,Gas Products,"It seems to me that once CORGI has made contact with the company directed to carry out the repairs, they then assume all is well. In my case, we will let down three times by the repairing company, and it was only after I continued to contact CORGI that something was done. It is disappointing That we were without heating and hot water for 48 hours in a very cold spell, in spite of my wife and I being over 75 years of age and regarded as priority cases.",LABEL_0,0.931,en,True,True,1.0
13/01/2024,01/01/2024,Unknown,Good fast service,LABEL_0,0.91,en,True,False,0.9
13/01/2024,01/01/2024,Gas Products,"Great response. Heating issues fixed promptly,  excellent engineer!",LABEL_0,0.933,en,True,False,0.9
13/01/2024,01/01/2024,Plumbing & Drains,"Following previous review the leaky valve returned so logged a second call. Again called next morning by the engineer who said he would order a new part. This was fitted the following day and all now good. Really pleased with the service, reliable and quick",LABEL_0,0.895,en,True,False,0.9
13/01/2024,01/01/2024,Plumbing & Drains,"The engineer arrived was very polite and respectful, he wore blue over shoes, he explained what he was doing and showed me where the leak was.  He checked every radiator with me and repaired any leaks he found. He seemed to know exactly what he was doing.",LABEL_0,0.932,en,True,False,0.9
13/01/2024,01/01/2024,Gas Products,Very quick service and professionally handled.,LABEL_0,0.936,en,True,False,0.9
13/01/2024,01/01/2024,Gas Products,Took a couple of days to find an engineer but he was very good to be fair,LABEL_0,0.937,en,True,False,0.9
13/01/2024,01/01/2024,Gas Products,The Engineer did a good job.The booking end was more difficult,LABEL_0,0.937,en,True,False,0.9
13/01/2024,01/01/2024,Unknown,Efficient and clean.,LABEL_0,0.937,en,True,False,0.9
13/01/2024,01/01/2024,Unknown,Work done in a competent manner.,LABEL_0,0.937,en,True,False,0.9
13/01/2024,01/01/2024,Gas Products,Great customer service and quick response and communication from the engineer.,LABEL_0,0.926,en,True,False,0.9
13/01/2024,01/01/2024,Gas Products,"Although I could not log in to order a repair and had to resort to a telephone call, the call handler could not find a solution as to why the website would not recognise my e mail but arranged for a engineer to call and he rang almost immediately came the next day and fixed the problem, So I was satisfied.",LABEL_0,0.935,en,True,True,1.0
14/01/2024,01/01/2024,Gas Products,"Following my recent review of Corgi, they responded that power flushing was not in their remit. They had misread my post, it was the fact that they wrongly diagnosed a need for a power flush and missed the need to replace the pump (which corrected the problem) that I complained about. Also, I sent them two emails explaining I would not be renewing my contract and had cancelled my Direct Debit. They had said an email explaining that was sufficient if I did not want to renew. Corgi then chased me with an email saying I had to telephone my cancellation. This I did, grudgingly. Yesterday they chased me again with another phone call. Really - how bad can you get? Piling more poor conduct on top of bad service. Put more effort into service and less into harassing customers!",LABEL_0,0.931,en,True,False,0.9
14/01/2024,01/01/2024,Home Electrical,Very responsive from the phone conversations to the work done,LABEL_0,0.936,en,True,False,0.9
14/01/2024,01/01/2024,Gas Products,I find the service excellent and the engineers are really helpful,LABEL_0,0.936,en,True,False,0.9
14/01/2024,01/01/2024,Gas Products,Very quick response. So far so good. Very good diagnosis..,LABEL_0,0.937,en,True,False,0.9
14/01/2024,01/01/2024,Gas Products,"Nice Man , arrived on time with the new part requiredAnd did the job quickly and efficiently",LABEL_0,0.929,en,True,False,0.9
14/01/2024,01/01/2024,Gas Products,"Speedy response, from initial call out,  to completing the the repair. Phoned in the call out on the 11th Jan at 23.45pm,the following morning I received a phone call from the engineer to say he had ordered parts for repair to the boiler, and be with me within the hour. He was to his word, and had the boiler fired up and repaired in lees than an hour of his arrival. Well pleased.",LABEL_0,0.928,en,True,False,0.9
14/01/2024,01/01/2024,Gas Products,"I cannot speak too highly of my recent experience of booking an engineer using Homeplan.  Tge online portal was clear and fast to use, I received text confirmation, engineer arrived within 2 hours and resolved problem same afternoon. Responsive, efficient, connected processes  - great customer service.n",LABEL_0,0.821,en,True,False,0.9
14/01/2024,01/01/2024,Gas Products,The engineer rang promptly and said he could come within half an hour. He attended and fixed the problem leaving us with heating and hot water. Very polite and knowledgeable. Excellent service.,LABEL_0,0.934,en,True,False,0.9
