Date,Year-Month,Review,Product Categorisation_sentiment_score,Product Categorisation_reason,Overall Sentiment_sentiment_score,Overall Sentiment_reason,Appointment Scheduling_sentiment_score,Appointment Scheduling_reason,Customer Service_sentiment_score,Customer Service_reason,Response Speed_sentiment_score,Response Speed_reason,Engineer Experience_sentiment_score,Engineer Experience_reason,Solution Quality_sentiment_score,Solution Quality_reason,Value for Money_sentiment_score,Value for Money_reason
29/01/2025,01/01/2025,Where is our warm homes discount? BG never pay up till winter is over!!!,85,Energy,-80,"The review expresses frustration and disappointment regarding the delay in receiving the warm homes discount, indicating a strong negative sentiment towards the service provided by BG. The use of exclamation marks emphasizes the reviewer’s dissatisfaction.",-80,"The review expresses frustration and dissatisfaction regarding the delay in receiving the warm homes discount, indicating a negative experience with the service. Although it does not directly mention appointment scheduling, the implication of poor service and lack of timely responses suggests a significant negative sentiment related to the overall customer experience.",-80,"The review expresses frustration and dissatisfaction with the customer service regarding the delay in receiving the warm homes discount, indicating a negative experience.",-80,"The review expresses frustration and disappointment regarding the delay in receiving the warm homes discount, indicating a very negative sentiment towards the response speed of the service.",-80,"The review expresses frustration and dissatisfaction with the service provided, specifically regarding the delay in receiving the warm homes discount. This negative sentiment reflects poorly on the overall experience with the contractor, suggesting a lack of reliability and responsiveness.",-80,"The review expresses frustration and dissatisfaction with the lack of resolution regarding the warm homes discount, indicating a poor quality of solution provided by the contractor.",-80,"The review expresses frustration and disappointment regarding the lack of a promised discount, indicating a negative perception of value for money. The emphasis on not receiving the discount until winter is over suggests a feeling of being shortchanged."
30/01/2025,01/01/2025,"Most Dangerous Energy Supplier, that Puts Thier Profits 1st, and Screws it's Customers with Estimated Bills and have Incompetent African Customer Services that do absolutely nothing to sort out the issue. And why would they when they work from Africa and We Live in the UK, giving all Our Personal Information to Unknowns, which under UK law is a Breach of the Data Protection Act, which I will be writing to UK government about. Centrica own BG and there's zero British in BG, when it's main share holder is from Norway and a couple others and not us. BG Title needs Removing and Replacing with Centrica.",95,Energy,-95,"The review expresses extreme dissatisfaction with the energy supplier, highlighting issues such as poor customer service, estimated billing practices, and concerns over data protection. The language used is highly negative, indicating a strong sentiment against the company.",-100,"The review expresses extreme dissatisfaction with the service provided by the energy supplier, highlighting issues such as incompetence and poor customer service. Although it does not directly mention 'Appointment Scheduling', the overall negative sentiment regarding customer service implies that scheduling appointments would likely be equally problematic, leading to a score of -100.",-90,"The review expresses extreme dissatisfaction with the customer service, describing it as ""incompetent"" and ineffective in resolving issues. The mention of the customer service being based in Africa and the implication of data protection concerns further emphasizes the negative sentiment towards the service provided.",-90,"The review expresses extreme dissatisfaction with the customer service, specifically highlighting the incompetence of the customer service representatives and their inability to resolve issues. This indicates a very negative sentiment regarding the response speed and effectiveness of the service provided.",-100,"The review expresses extreme dissatisfaction with the customer service and the overall experience with the energy supplier, indicating a lack of competence and a serious breach of trust. The negative language used throughout the review reflects a highly negative sentiment towards the service provided, particularly in relation to customer support and handling of issues.",-90,"The review expresses extreme dissatisfaction with the customer service and the inability to resolve issues, indicating a very negative perception of the solution quality provided by the contractor. The mention of ""incompetent"" services and the failure to sort out problems reinforces this negative sentiment.",-100,"The review expresses extreme dissatisfaction with the energy supplier's practices, indicating that they prioritize profits over customer service and fairness. The mention of ""estimated bills"" and ""incompetent customer services"" suggests a lack of value for money, leading to a very negative sentiment regarding the overall value received."
30/01/2025,01/01/2025,"Put all your Complaints on Trustpilot, so others are made aware to Stay away.",0,Unknown,-90,"The review expresses a strong negative sentiment, advising others to avoid the contractor and suggesting that there are significant complaints about their service. The use of ""stay away"" indicates a very unfavorable experience.",-100,"The review expresses a strong negative sentiment, advising others to avoid the service entirely, which implies significant dissatisfaction with the appointment scheduling process.",-90,"The review expresses a strong negative sentiment towards the customer service, suggesting that potential customers should avoid the contractor. The use of ""Stay away"" indicates a severe dissatisfaction with the service provided.",-90,"The review expresses a strong negative sentiment towards the contractor, suggesting that potential customers should avoid them. This implies a lack of responsiveness or a negative experience, leading to a very low score for response speed.",-100,"The review expresses a strong negative sentiment, advising others to avoid the service, which indicates a very poor experience with the engineer.",-90,"The review expresses a strong negative sentiment, advising others to avoid the contractor, which implies a lack of satisfaction with the quality of the solutions provided. The use of ""stay away"" indicates a severe discontent with the service.",-100,"The review expresses a strong negative sentiment, advising others to avoid the contractor, which implies a complete dissatisfaction with the value received for money spent."
30/01/2025,01/01/2025,Do you have anyone in your customer service team that actually speaks decent English ?,0,Unknown,-70,"The review expresses frustration and dissatisfaction with the customer service team's language skills, indicating a negative experience. The tone suggests a lack of professionalism and competence, leading to a strongly negative sentiment.",-80,"The review expresses frustration and dissatisfaction with the customer service team's communication skills, which directly impacts the appointment scheduling process. The negative tone indicates a significant issue that could hinder effective scheduling.",-80,"The review expresses frustration and dissatisfaction with the customer service team's language skills, indicating a negative experience.",-70,"The review expresses frustration and dissatisfaction with the customer service team's language skills, implying a negative experience with their response speed and communication.",-80,"The review expresses frustration and dissatisfaction with the customer service team's communication skills, which negatively reflects on the overall experience with the engineers. The implication is that poor communication may hinder the effectiveness of the engineers, leading to a very negative sentiment regarding the engineer experience.",-80,"The review expresses frustration and dissatisfaction with the customer service team's language skills, indicating a negative sentiment towards the quality of the solution provided. The question implies a lack of effective communication, which is critical for resolving customer issues.",-80,"The review expresses frustration and dissatisfaction with the customer service team's communication skills, which implies a negative perception of the overall value for money, as effective communication is often a key component of good service."
30/01/2025,01/01/2025,You've sent me a bill for £109 for 4 days electricity usage which It doesn't cost me that for  2 months can you sort this ?,95,Energy,-70,"The review expresses frustration and dissatisfaction regarding the unexpected high bill for electricity usage, indicating a negative experience with the service.",0,"The review does not provide any information regarding the appointment scheduling aspect. It focuses solely on a billing issue, making it neutral in terms of sentiment related to scheduling.",-70,"The review expresses frustration and dissatisfaction with the billing issue, indicating a negative experience with customer service. The request for sorting out the problem further emphasizes the lack of resolution and support.",-70,"The review expresses frustration regarding an unexpected and high bill, indicating a lack of timely and satisfactory response to the customer's concerns. The tone suggests dissatisfaction with the contractor's responsiveness to the billing issue.",-70,"The review expresses frustration and dissatisfaction regarding the billing for electricity usage, indicating a negative experience with the service provided by the engineer. The focus on the unexpected and high bill suggests a lack of clarity or communication, leading to a poor perception of the engineer's performance.",-70,"The review expresses frustration over an unexpected and seemingly excessive bill, indicating dissatisfaction with the resolution or clarity regarding the billing issue. The request for sorting the problem further emphasizes the lack of a satisfactory solution.",-80,"The reviewer expresses strong dissatisfaction with the perceived high cost of the bill for electricity usage, indicating that it is significantly more than what they typically pay. This suggests a negative sentiment regarding the value for money."
30/01/2025,01/01/2025,Loving the savings our family are making from signing up to peak save on a Sunday! Every little helps as they say ☺️ #organised,90,Energy,85,"The review expresses a positive sentiment about the savings made from signing up for a service, indicating satisfaction and appreciation. The use of a smiley face and the phrase ""Every little helps"" further emphasizes the positive feelings associated with the experience.",0,"The review does not mention anything related to appointment scheduling; it focuses on savings and organization instead. Therefore, it is neutral regarding the specified aspect.",0,"The review does not mention any aspect of customer service; it focuses on savings and organization. Therefore, it is neutral regarding customer service sentiment.",0,"The review does not mention anything about response speed, so it is neutral regarding that aspect.",0,"The review does not mention any experience with an engineer, focusing instead on savings from a service. Therefore, it cannot be assessed for sentiment regarding 'Engineer Experience'.",80,"The review expresses a positive sentiment regarding the savings achieved from the service, indicating satisfaction with the solution's effectiveness in helping the family save money. The use of ""Loving"" and ""Every little helps"" further emphasizes the positive impact of the solution.",90,"The review expresses a very positive sentiment about the savings achieved from signing up for a service, indicating a strong perception of good value for money. The phrase ""Every little helps"" reinforces the idea that the savings are appreciated, contributing to a high score."
30/01/2025,01/01/2025,You must be embarrassed to read all the negative comments attached to any of your FB posts ? Sadly all true British Gas is totally inept at dealing with its customers . Has anybody on here ever actually managed to get a resolution to a complaint ?,0,Unknown,-90,"The review expresses strong dissatisfaction with British Gas, highlighting ineptitude in customer service and a lack of resolution for complaints. The use of words like ""embarrassed"" and ""totally inept"" indicates a very negative sentiment overall.",-90,"The review expresses strong dissatisfaction with British Gas's ability to handle customer complaints, implying significant frustration with their appointment scheduling process. The use of words like ""inept"" and ""negative comments"" suggests a very negative experience related to scheduling appointments.",-90,"The review expresses strong dissatisfaction with British Gas's customer service, describing it as ""totally inept"" and highlighting a lack of resolution for complaints, indicating a very negative sentiment towards this aspect.",-90,"The review expresses strong frustration and disappointment with British Gas's ability to handle customer complaints, indicating a significant lack of responsiveness. The use of words like ""totally inept"" suggests that the reviewer feels that the company fails to address issues in a timely manner, leading to a very negative sentiment regarding response speed.",-90,"The review expresses strong dissatisfaction with British Gas, indicating that the customer feels the service is inept and that complaints are not resolved. This reflects a very negative sentiment regarding the engineer experience, as it implies a lack of competence and effectiveness in handling customer issues.",-90,"The review expresses strong dissatisfaction with British Gas's ability to resolve customer complaints, indicating a perception of ineptitude and a lack of effective solutions. The use of ""totally inept"" reinforces the negative sentiment regarding the quality of solutions provided.",-90,"The review expresses strong dissatisfaction with British Gas, indicating that the service is inept and that complaints are not resolved. This suggests a poor perception of value for money, as customers feel they are not receiving adequate service for what they pay."
30/01/2025,01/01/2025,Please can I have a contact number to speak to a customer advisor? As a new customer trying to register a new account with you I have been trying to call (automated call hung up on me due to not yet having an account number) email address rejected and no one answers the online chat?! I have wasted hours on this 😔 I can’t carry out the service online as the details are not correct. Please help! 🙏🏼,0,Unknown,-80,"The review expresses significant frustration and disappointment with the customer service experience. The reviewer highlights multiple failed attempts to get assistance, indicating a negative overall sentiment due to wasted time and lack of support.",-80,"The review expresses significant frustration and dissatisfaction with the appointment scheduling process, highlighting difficulties in contacting customer support and the inability to register for an account. The use of phrases like ""wasted hours"" and the plea for help indicates a very negative sentiment regarding this aspect.",-80,"The review expresses significant frustration and disappointment with the customer service experience, highlighting issues such as unresponsive communication channels and wasted time, which indicates a very negative sentiment towards customer service.",-80,"The review expresses significant frustration and disappointment regarding the lack of response and support from customer service. The reviewer indicates that they have wasted hours trying to get help, which reflects a very negative sentiment towards the response speed of the service.",-80,"The review expresses significant frustration and dissatisfaction with the customer service experience, highlighting issues with communication and support. The reviewer feels they have wasted time and are unable to access the service, indicating a very negative sentiment regarding their experience.",-80,"The review expresses significant frustration and dissatisfaction with the lack of support and solutions provided by the service. The customer has experienced multiple failed attempts to get assistance, indicating a poor quality of solutions available to them.",-80,"The review expresses significant frustration and disappointment with the customer service experience, indicating that the user feels their time has been wasted and they are unable to access the service. This negative experience suggests a poor perception of value for money, as the customer is unable to utilize the service they are trying to register for."
30/01/2025,01/01/2025,British Gas thanks Dave can I take an email address for you please? I can’t DM it comes back with an automated reply,0,Unknown,0,The review expresses a neutral sentiment as it does not convey any strong positive or negative feelings. It simply states a request for an email address without any emotional context.,-20,"The review indicates frustration with the inability to directly message and the automated reply, suggesting difficulties in scheduling an appointment. This reflects a negative sentiment regarding the appointment scheduling process.",-20,"The review expresses frustration with the inability to communicate effectively via direct message and suggests a lack of responsiveness, which negatively impacts the perception of customer service.",20,"The review indicates a slight frustration with the response speed, as the customer is unable to direct message and is receiving automated replies. However, the mention of ""thanks"" suggests some level of appreciation, leading to a mildly positive sentiment overall.",0,The review does not provide any specific feedback regarding the engineer's experience. It appears to be a neutral inquiry about communication rather than an assessment of the engineer's performance or service quality.,20,"The review indicates a minor level of frustration with the communication process, but it does not express dissatisfaction with the solution itself. The mention of ""thanks"" suggests some level of appreciation, albeit limited, which contributes to a slightly positive sentiment.",0,The review does not provide any information regarding the value for money aspect. It is neutral and focuses on a communication issue rather than the cost or value of the service.
30/01/2025,01/01/2025,British Gas ok thank you for the heads up! It’s hard to get through as the chat bot just didn’t reply at all earlier 😩,0,Unknown,20,"The review expresses a mild positive sentiment towards British Gas for providing a heads up, but it also highlights frustration with the chatbot's lack of response, leading to an overall slightly positive impression.",-30,"The review indicates frustration with the appointment scheduling process, specifically mentioning difficulties in getting through and a non-responsive chatbot. This suggests a negative experience with scheduling.",-30,"The review expresses frustration with the customer service experience, specifically mentioning difficulties in getting through and the chatbot's lack of response. This indicates a negative sentiment towards the customer service aspect.",-30,"The review expresses frustration with the response speed, highlighting difficulty in getting through and a lack of reply from the chatbot. The use of the sad emoji further emphasizes the negative sentiment regarding the speed of response.",20,"The review expresses a mild level of frustration with the chat bot's lack of responsiveness, which indirectly reflects on the overall experience with the service. However, the mention of ""thank you for the heads up"" indicates some level of appreciation, leading to a slightly positive sentiment overall.",-40,"The review indicates frustration with the chatbot's inability to provide a response, suggesting that the solution quality was poor and did not meet the customer's needs.",0,"The review does not provide any specific feedback regarding the value for money aspect. It mainly discusses the difficulty in communication with the chatbot, which does not directly relate to the perceived value of the service."
30/01/2025,01/01/2025,British Gas I did this but it says you only supply gas when in fact you also supply electricity too. And that’s why I wanted to speak to someone to have an account for both.,90,Energy,-30,"The review expresses frustration and confusion regarding the services provided by British Gas, indicating a negative experience in trying to get information about their electricity supply. The tone suggests dissatisfaction with the communication or clarity of the service.",-50,"The review expresses frustration regarding the inability to speak to someone about setting up an account for both gas and electricity, indicating a negative experience with the appointment scheduling process.",-40,The review expresses frustration with the lack of clarity regarding the services provided by British Gas and the difficulty in reaching customer service for assistance. This indicates a negative sentiment towards the customer service experience.,-50,"The review expresses frustration regarding the lack of clarity and response from British Gas about their services, indicating a negative sentiment towards the response speed or effectiveness of communication.",0,"The review does not provide any information about the engineer's experience, focusing instead on a misunderstanding regarding the services offered by British Gas. Therefore, it is neutral in sentiment regarding the engineer aspect.",-30,"The review expresses frustration regarding the lack of clarity in the services provided by British Gas, specifically mentioning a misunderstanding about their offerings. This indicates a negative sentiment towards the quality of the solution provided, as the customer feels their needs were not adequately addressed.",-30,"The review expresses frustration regarding the misunderstanding of services provided by British Gas, indicating a lack of clarity and value in the communication about their offerings. This suggests a negative sentiment towards the perceived value for money."
30/01/2025,01/01/2025,Six months waiting for them to give me my mums credit back after she passed away absolute joke. 15 calls later and still haven't got it !!!,90,Energy,-90,"The review expresses significant frustration and disappointment due to the long wait and lack of resolution regarding a refund, indicating a very negative overall sentiment.",-90,"The review expresses extreme frustration and disappointment with the service, indicating a significant delay and lack of responsiveness in handling an important matter related to appointment scheduling for a refund.",-90,"The review expresses extreme frustration and disappointment with the customer service, highlighting a long wait time and multiple unsuccessful attempts to resolve an issue, which indicates a very negative sentiment.",-90,"The review expresses extreme frustration and disappointment regarding the slow response and lack of resolution after multiple calls, indicating a very negative sentiment towards the response speed of the contractor.",-90,"The review expresses significant frustration and disappointment regarding the service provided, indicating a very negative experience with the contractor's handling of the situation. The mention of multiple calls without resolution further emphasizes the poor experience.",-90,"The review expresses significant frustration and dissatisfaction with the contractor's inability to resolve the issue of a credit refund, indicating a very poor quality of solution provided.",-90,"The review expresses significant frustration and disappointment regarding the service provided, specifically highlighting a long wait for a credit refund. This indicates a poor perception of value for money, as the customer feels they have not received the service they expected, especially in a sensitive situation."
