Review,Company
"Been asked by BG to reveiw there service from the 3 visit that they subbed out to there plumbing dept dyno rod.In genral awful experiances visit 1 plumber didnt have the correct tools for removeing glands from a FRANKE tap, I had to go to the shops and buy the glands ! the most basic job. I had to lend them mine and they still managed to scratch and dent the tap. BR refunded the Â£15 materials only, not the  excess andstill left with a scratch Â£300 tap. Visit 2 ,  leaky stop valve... plumber came and put PTFE tape around it , 1 week later leaking again ( no surpise really)  Complain to BR and asked that a different plumber was sent, gess who turns up. Same guy that scratched my tap and ""fixed"" the valve. He managed to replace the valve ( what he should have done ) but chipped a till in my brand new bathroom, i cant change the 1 till as there is electric underfloor heating so im left with a daily reminder of why I tell everyone I meet to avoid Britsh gas and home care servic and DynoRod",British Gas
Dyno-Rod adviser told Severn Trent Water that the Sewage problem was not ours but theirs after they refused to attend property obtained a reference number and their was no charge off him,British Gas
"Shocking. Our kitchen was left soaked after the engineer visit. The counter was drenched, there was a plug left sitting in water and one of the cupboards was full of water.",British Gas
"Having paid for cover for plumbing for last 10 years, first time used, what a complete shambles, caused I would say by Dyno and British Gas.Toilet flush failed Wednesday about 4.00pm, called B.G. because we only have the one toilet it was flagged as an emergency, plumber would be with us by 10.00pm. No show.Rang following morning at 9.00am, told the information given was wrong would be by 1.00 pm that day. Explained the no one was home until 4.30, rescheduled for late afternoon. Got home at 4.00, card in the door, came at 2.08pm.Phoned again, rescheduled for Saturday between 8.00am and 6.00pm. Stayed in all day rang at 5.00 was told don't worry will be with you before 6.00pm. No Show.Rang again, they contacted the plumber, finished shift at 5.00. Offered to rescheduled call out could be anytime between then and 1.00pm, so could even be 3.00 in the morning. Said I wanted to speak to a manager, went through to register complaint, was told he had to offer compensation, if I rejected then a manager would call, but wouldn't be till Monday. Â£25.00 offered refused and now await a call, mean time contacted a plumber local to us and coming out Tuesday morning.What a complete waste of money we have paid over 10 years. Can't blame the people on the phone but the communication between British Gas and Dyno is shockingly bad. I work for a claims management company and put up a league on social media, customers experiences of poor customer service, guess who is going on the top, god forbid we had a massive water leak. Will I renew, what do British Gas think?UpdateWell that was a waste of time, did as you asked. This is the response I got, when I asked for the cost of employing a private plumber to be refunded to retain my custom. I have been in customer service for years and things go wrong, but customer service is getting it put right. If you need any help with your customer service I will be more than happy to help.Hello Paul . I am sorry to see the above. I am sorry you have not been happy with the service, If this is regarding the excess I am sorry we wouldn't be able to wave this due to the dissatisfaction you are feeling towards the service. Sukhi",British Gas
"Excellent, efficient service. The plumber was very helpful. Explained everything and left everything clean and tidy.",British Gas
"Reported a leak online and someone from Dyno Rod was sent out but he wasn't allowed to touch the filter with the leak, only an engineer can do this!!!Now we have to sit in for another day for an engineer to come out between 8am and 6pm, not happy British Gas!!!",British Gas
"I had to request a plumber for the fourth time, to fix a leak with my outside tap. Today the guy that came out was very polite, worked speedily and thoroughly, left the site in perfect condition and unlike the others didn't take masses of photos.I was so impressed I called his manager to add to the online questionnaire!",British Gas
We had a leak and BG came and fixed it the same day. The engineer was professional and completed the job and explained what he had done .,British Gas
Operator was helpful but had a bit of difficulty understanding her language. Taps installed but left a leak on the connection so had to call them to get it sorted.,British Gas
"British Gas were very helpful when I rang them today due to a leak near the stopcock. Arranged a plumber visit for tomorrow, even though tomorrow is a Saturday !",British Gas
Making an inquiry about blocked drain at home and the adviser actually listened to my concerns and the long history of attempts to unblock. He explained all procedures available and costs and made an appointment to suit me .,British Gas
"The British Gas HomeCare staff have been very supportive and helpful in dealing with our insurance cover for plumbing and drainage. On my phone call, everything was sorted.",British Gas
"Had a drain blockage, called British Gas as we have emergency cover, Dynorod were on site within 30 minutes and within an hour, all sorted. From the British Gas advisor to the Dynorod Engineer the service was impeccable. Thank you.",British Gas
Kept informed of where the engineer was and the engineer fixed leak checked it over and cleaned area before leaving. Super job,British Gas
"Engineer turned up today, refused to do the job. I explained the job on the phone apparently is not covered on the insurance so why did they say that when I made the phone call waste of a day off waste of his time my time scandalousAlso not clear what is what isn't covered on my plumbing apparently everything else, but this how ironic",British Gas
The fitter did an excellent job with the minimal of disruption to our water supply,British Gas
Always able to get in touch if there is a heating:electrical/plumbing issue Problem always fixed quickly,British Gas
"The engineer was fantastic, the updates on the app not so hot, had a message to review my recent visit followed by one advising the engineer would be late - he'd already been gone an hour. Discovered a water leak during the visit and booked plumber on the app, booking was confirmed then got an email confirming it for a day later - not good!",British Gas
First class service  repair works to leaking wc carried out next day,British Gas
Blocked toilet. Easy to get thru and get a plumber to come and hopefully sort.blocked,British Gas
British gas homecare level 3 cover. Leaking toilet everytime you flush from the fill tank around a cup full of water leaks.4 x days before they will come and take a look. 24hr cover NOT.Looks like be better cross our legs for 4-days.Reference no. DY-WO-3554901You have my reference number therefore please investigate. You also have my telephone number so why DM you again through Facebook??Look forward to recieving your call.,British Gas
"Noticed a leak through my kitchen ceiling this morning. After phoning British Gas Homecare, an engineer arrived within half an hour and leak was sorted.Very prompt and efficient service!",British Gas
"Called in advance, then arrived at estimated time. Quick and clean worker, brought all own equipment (bucket etc) in past I've provided basin. Very helpful and informative and good advice given as I needed more explaining as I lost my husband recently. Thank  you",British Gas
"Complaint Ref Number: 8016001022 I am writing to you to further add to my complaint (#8016001022). This has caused me immense distress and difficulties. I have a registered disabled mother suffering mental health problems (diagnosed Schizophrenia since 1996) and is also suffering mouth cancer since Jan 2023. The disability has been on your records since I've had my policy with you and the cancer was also reported earlier last year. We should be on the vulnerable list for urgent needs/breakdowns. I called you today 03/02/2024 at 12.02pm to report a problem stating there is no supply of hot or cold water to the taps. The only place where we can get cold water only is the kitchen as that is coming through the mains supply. We cannot use the bath and shower, cannot flush the toilet or use the skinks in the bathrooms. I was told that a Dyno-rod engineer will come to investigate and solve the problem. I called you again at 15:22pm to chase up as nobody had turned up. I was told that a Dyno-rod engineer will be there by 6pm. I called you again at 17:48 and was told it's been one of those days where there are less engineers available but your job is open and an engineer will be coming out to you. I called you again at 19:27 to report that nobody has turned up and logged a complaint to this unacceptable atrocious service provided. I was told nobody is going to come out today as there are no engineers working. This was news to be as I was being told since 12.02pm an engineer is coming and then was told nobody is coming. The kind lady on the phone booked a appoint for me for 04/02/2024 from 8am to 1pm. I have no hopes that anybody is going to come. See call history attached! As a result of your failure to provide a service that I pay for monthly, I've had the following losses and severe problems to the health of a 76 year old disabled and cancer suffering lady: Cancelled Plans for my 6 year old child as I had to stay home all day.Severe anxiety attack to 76 years old cancer suffering and disabled mother Ã¢â‚¬â€œ She has been unable to shower/bath, brush her teeth, keep her mouth clean (considering she has mouth cancer) as there is no hot water.Health Condition worsened for which we've had to call 111, Mount Vernon Hospital (Cancer Treatment) and a paramedic to help her.Urgent need to call out a private plumber to investigate and fix the issue. This has cost me additional money. Invoice is attached.Need to purchase water supplier for upstairs so that we can wipe my mother down and at least give her a sponge bath. Invoice attached. I don't pay you to not provide a service when needed. I demand to be reimbursed for the additional cost implication as result of your failure to provide a service that you get paid for and for the time taken to call you and chase up this issue.",British Gas
ALL VERY PLEASANT AND EASY to request a plumbing repair.,British Gas
Took a long time for our problem to be sorted. 3 times a plumber had to come out. Each time we rang British gas they said the problem had been sorted and the case was closed.,British Gas
Got water leak called them they instructed me what to do to contain leak and prompt appointment for day after engineer to call out has I got learning difficulties Very understanding and very professional company Paul from Abergavenny,British Gas
"We had a water leak in the house. British Gas sent engineer on the same day. Leak sorted out quickly. Lights were fixed by other engineer next day. Both are very knowledgeable and helpful in sorting the issues without delay. Overall very satisfied and was a positive experience. When British Gas employees/engineers come to fix they call promptly, they come on time and fix the issues. I did not had a good experience with third party guys that British Gas sends for boiler servicing every year. They don't turn up for appointments. ",British Gas
"Prompt response to my request,  and spoke to someone in England and not in South Africa who I was through to last week when dealing with my dad's account.I  am a priority customer and they are coming in 4 days to sort out my leak.",British Gas
Michelle and Isaac fro Dynorod  cleared a very difficult blockage today . Fully recommend this company ,British Gas
Time scale of booking an engineer was within the same hour of him arriving. He sorted out the mess Dyno had made yesterday (23/02/2024) for us. Excellent service.,British Gas
"Terrible service!!! Extremely disappointed. After waiting in during my allotted booking time and taking time out of work they changed my time with no notice, when I called the office they weren't bothered at all and didn't even apologise. Finally when the engineer came out the tap was not like for like and even he agreed wouldn't work on my sink, this now meaning I've wasted 2 afternoons off work for nothing. I pay a premium rate to ensure these things are taken care of and this has been appalling from start to finish. To add insult to injury I'm now being chased to pay an excess on a service that has caused me nothing but agro lost me 2 afternoons of work when I am self employed and I still have a broken tap",British Gas
Service carried out efficiently and came back today (26/2/24) to fit a new radiator because of a leaking old one ,British Gas
We have home insurance unfortunately with British Gas and I DO NOT Recommend them. They throw a company that is useless called dyno. Who are incompetent. My entire house flooded and ceiling collapsed and British Gas had no idea what to do. Then they said they will send dyno out. Who then went to the complete wrong address. Warning! Do not use British Gas as insurance! Rubbish scammers. I have way more horror experiences with them but I would be typing a novel then.,British Gas
"Dynarod engineers that visit are great. However, the BG customer service is appalling. It's not fit for purpose.",British Gas
"DO NOT PAY for HOMECARE PLUMBING- 3rd time using pipe under kitchen sink leaking . DYNO plumber turns up , says he fixed it . Stood there and said Ã¢â‚¬Ëœoh yeah there's still water but that's where I didn't wipe it should be ok Ã¢â‚¬Ëœ . He left pipe is still leaking worse than before . 1st time I used took 4 visits to fix a toilet leak . 2nd time used they created a leak that wasn't there before and now this. Raised a complaint will now cancel cover . Having to put a towel and kitchen towel whilst wait for 2nd visit . My response from British Gas to this post yesterday is  I now have to hunt round all the social media sites to talk to them privately they couldn't even give me an email address or contact number . Awful . 2nd plumber  visit due today didn't happen as planned they cancelled on me . I've had 3 conversations with British Gas and 1 with DYNO all awful incompetence and false promises   . I'm going away on holiday  tomorrow so their recommendation is to turn  the water off or get my sister from Essex to give up her weekend and stay in my property 8-6pm in case a plumber turns up . What a wonderful home care service . I'm going to cancel all cover gas electrics and plumbing as would rather use check a trade and pay a bit more for a qualified professional tradesman who will turn up on time and  not leave me home in a worse position than it was before . ",British Gas
Problem with foul sewer drainage - British Gas information shows cover is up to the main sewer connection - but this is the case. They do not cover problems cause by dips in the pipework or the chambers. B Gas need to clarify this on the publicity ,British Gas
"Greg, my engineer, was great. He identified and fixed my leaking tank very quickly, cleaned up, and was polite and friendly. My day had started badly by finding water coming onto the bathroom ceiling but now only five hours later it's all fixed. Thank you",British Gas
"I have been told I have to wait 3 weeks for a plumber to come and fix my leak!In the meantime my property is getting damaged. Awful landlord homecare service!I wrote a review on trustpilot 2 days ago and they replied saying they were sad to hear this and call BG.I did and they said the quickest they can get someone is 3 weeks away.Save your money and don't take out BG landlord services as it's a waste of money.To BG, don't reply to this review telling me to call someone. You have my details and if you were shocked by this service you would get in touch with me and arrange a sooner appointment. Why should my property get damaged because you can't find a plumber sooner! That's the whole point of having a landlord homecare service????Spoke to Wendy at BG and nothing they can do.To make things worse, BG have just told me that the homecare team are closed at the weekend. So no one can help you if you have a leak at the weekend anyway. Seriously!",British Gas
Great service and quick appt for a radiator leak. Also good to speak to a real person and not a chat online.,British Gas
Easy to contact and a quick response with Dyno being out within the hour - he was here for well over 2 hours and has done a great job - thank you,British Gas
"Easy to book a repair in online, phoned before arrival. Explaining everything that caused the leak. Very caring snd professional engineer. Wearing shoe covers all the time. Fixed problem and tested the system and didn't leave until they were satisfied everything was working okay. ",British Gas
"I first contacted British gas last August about a leak. A good start as the Dyno plumber turned up quickly. After an hour or so he said he didn't have the time to investigate further and would be back. A week later I had to contact British gas to see what was happening. A week or so later the plumber returned but with no success. On the 6th visit the plumber decided he would have to divert the pipework as the leak was underground. In total it took about 7 weeks to fix. My walls were getting wetter and wetter and full of mould. As it was finally fixed I paid the Â£60 owed on the 2nd of October and thought that was the end of the matter. I was not that happy with the service and the length of time it took but was glad it was over, or so I thought. Today I had another invoice for Â£60. Having contacted the chat system I was diverted to the phone number. The agent informed me that there was 2 invoices as I contacted British gas twice. What a con. Trying to sort it out is awful. I'm just passed from 1 number to another. There is no email address just a postal one. Beware of contacting them more than once for the same problem. You may well be charged twice. Absolute disgrace ",British Gas
"British gas was amazing, and I am extraordinarily grateful to the man who came. He was so friendly and helpful. He identified a burst pipe, and kindly gave me some advice as to what to do next. Exceptional service. ",British Gas
Really pleased with fast efficient service by a caring engineer. Sorted out the drain on our sink. First Class ,British Gas
"Work done quickly, new tap suppled by us, problems we had now solved. ",British Gas
Tap couldn't be fixed as pipe had corroded in sink. Needed a new sink which was fitted a week later. Unfortunately the hot tap had no pressure so they now need to come back again. ,British Gas
"My radiator lockshield valve spindle was leaking. British Gas Dynorod engineer was an hour late, sent from too far away! He thought he could tighten a spindle sealing nut on a non-serviceable sealed for life valve! He didn't have a new valve on board and had another job to attend and so called a local Dynorod colleague and then left. Another engineer finally arrived, having only a thermostatic valve on board and used that to replace my lockshield valve, so making conventional radiator balancing impossible. He also left both the valve and my wall in a dirty condition.",British Gas
"Advisor very helpful, gave me her full attention and advised me on an issue that was bugging me but not the immediate task as well. Very efficient.(11/3/24, a plumbing job)",British Gas
I have a comprehensive service contract with them which covers me for gas pipes drainage and electrics.its handy to have in case of an emergency as with your own house anything can happen and if you are a woman with no tradesperson experience on fixing things this policy for service contract with a reliable company is paramount.,British Gas
" I contacted British Gas a couple of weeks ago regarding an issue at my above property where by the managing agent had contacted yourselves to get an appointment for a burst pipe in the loft and was told my policy doesn't cover it which it definitely does. She then called out a third party plumber at the cost of Â£180, I did inform her I definitely had cover for pipe work to which she called yourselves and was then told I did, I believe am entitled to a reinburstment for the Â£180, I understand there has been futher communication between yourselves and my managing agent and you guys don't seem to want to reimburse the Â£180 and are being difficult about this. I am highly disappointed and very upset by this considering I have 3 properties with yourselves? totally unacceptable on your part. If I don't receive the Â£180 I will be forced to take this matter further ",British Gas
"Not happy with BG at present. I have a full home service package to include boiler, water and electrics. Â£60 excess on each repair. Called them out for a leaking tap. It was not fixed yet they now hound me for the Â£60, threatening debt collectors etc. I have checked their terms and conditions and the Â£60 excess is only payable on a completed repair, therefore they have no right to ask for the payment, let alone threaten and treat it as a debt. Have spoken to customer services who were pretty unhelpful and still I continue to be hounded for a payment I do not owe! On the verge of making a formal complaint!",British Gas
Easy to contact on phone didn't wait in a queue. Within 2 hours of reporting leak plumbing engineer under Homecare arrived. Impressed that call out happened so efficiently. Hopefully they can repair.,British Gas
The engineer arrived on time and was friendly and fixed the leak and tidied up before he left.,British Gas
"Phoned today and within a few minutes call handler had an appointment made for tomorrow morning 8am to 1 pm, but were also offered alternative times for same day. Very efficient staff and Leah a credit to your company. Within a few minutes I received confirmation  through from yourselves and then within another few minutes phone call from Dyno Rod confirming appointment  excellent service",British Gas
"Had an issue with my sink. I have British Gas cover. Managed to get a same day appointment and they arrived within an hour of booking it. Could not believe the service I received. The guy was very professional throughout. So pleased I have this cover, well done in providing a top notch service to your customers",British Gas
We have been British Gas customers for years but recently had a radiator replaced in our lounge but unfortunately and disappointing to have Dyno Rod in to replace it. The first visit was to assess the job and four days later two engineers arrived in separate vans and took nearly all day to complete the work.,British Gas
Dyno rod and Wayne thank you again.   You saved my bacon yesterday with the drain issue happy to pay 180 pounds because he was such a nice guy did the job well. Would have him back again. Hopefully not needed tho.     Whole thing from beginning to end was brilliant I have to say.   Just 3 ish hour from call to done.      Now our new carpets won't be damaged from outside.  Like I said life saver. ,British Gas
The person was helpful in dealing with our enquiry. The plumber came out on the same day.  Extremely happy with the service.,British Gas
I am seriously in awe. I have level 2 house insurance. I went on line on Wednesdaybto report a minor leak. They offered an appointment the next day which I couldn't be there. They came 2 days later and fixed it within 10 minutes. 30 minutes later another crew came along to fix the necessary damage to the wall. Amazing service ,British Gas
My call to Dyno rod was very satisfying. The response was immediate and a convenient appointment  was made.The engineer turned up on time and  carried out a thorough check.Made an appointment  to carry out the work.,British Gas
This is a review on my British Gas customer service experience. (They're sending Dynorod to fix the leaking valve tomorrow so I can't comment on the actual repair service yet.)I did try to use the online ap to book a repair but it told me I had to phone. I was dreading it because I thought I'd have to go through loads of various options - either pressing buttons or (even worse) having to talk responses into my phone and then I would either be speaking to a machine or a call centre in India or somesuch. The call was answered much quicker than I was expecting and the advisor was simply lovely to talk to. He was very sympathetic and helped me to book an appt as quickly as possible. I couldn't be more impressed with the service. I can't tell you how good it was to talk to a) a human and b) someone in this country with an accent that I understood who wasn't reading from a script. The experience was very refreshing and I truly appreciated this service. My advisor was wonderful ????,British Gas
"The worst company I had to deal with .On behalf of my landlord which has home care insurance it took them from January to April and 4 different "" enginers "" visits to finally fix a leaking tap .The amount of excuses and nonsense was unreal .Avoid it at all costs ",British Gas
"I am happy to criticise BG when necessary, but they were extremely helpful this afternoon and I am looking forward to their partner Dynorod coming to unblock our drains later on. ",British Gas
Service Engineer very helpful explained everything as he did his work. Arranged for repair Engineer after discovering a small leak,British Gas
"Although it took me a while to get into my British Gas on line account  i was able to book an appointment for a very long overdue plumbing repair, at a second home. I need to book appointments to fit in with my visits which i also have to plan in advance. I was able to phone up as well  (16 min wait) to book in another plumbing job, same time. I wouldn't be without a British Gas Home Care agreement as you get reliable engineers and reliable appointments. This has been my experience over a number of years, with British Gas",British Gas
"I had a blockage under my kitchen sink the engineer was booked straight away very satisfied with their service, never disappoint from them",British Gas
"At 8.30 booked the call out on line - very easyPlumber was on site by 10.15 and all fixed and completed in just over an hour. He was a polite, efficient and clean worker.My feedback from previous call out was bad so well done British Gas ??",British Gas
British gas engineer is a trusted personal. before I quoted from Swindon local plumber who tired to rob me for a small Job.( Company named AA Plumbing (turkish ) Â£180. But after call British Gas they did the Job very good job and save my Money too. ,British Gas
"The service was very efficient.  My dad is blind and lives alone. He had a leak and I contacted customer services Sunday afternoon. He has priority and the engineer was out the following afternoon, sorted the problem and was respectful to my dad. Cannot fault that service. Thank you. ",British Gas
Easy no que on the phone and the staff are friendly and plumbers always turn up if needed,British Gas
